A;B;C;D;E;F;G;I;J;K;L
-0.088468476;-0.095888641;-0.098739039;-0.083777435;-0.098742971;-0.082960127;-0.08281266;-0.078787291;-0.08580206;-0.101327149;-0.139606843
0.062556946;0.06650984;0.053629221;0.058882163;0.094512755;0.062978832;0.064168854;0.079027783;0.057964045;0.060538277;0.048481982
0.020300622;0.016650479;0.012493708;0.017340296;0.044265594;0.01625933;0.009024987;0.057712965;0.013464298;0.013693143;-0.000306928
-0.04909832;-0.052705136;-0.063892505;-0.053561344;-0.06342325;-0.054535066;-0.060623395;-0.061754991;-0.047938888;-0.058087541;-0.101190651
-0.02165095;-0.02908595;-0.036327405;-0.02535747;-0.027944454;-0.024103239;-0.02406944;-0.027071352;-0.017986432;-0.02016816;-0.030725202
-0.061810574;-0.072972797;-0.06375613;-0.061244634;-0.130511464;-0.07161852;-0.060920271;-0.093554042;-0.045849581;-0.060441709;-0.082781588
-0.149672275;-0.154830301;-0.142698605;-0.162515184;-0.165922921;-0.145360016;-0.130372804;-0.181066439;-0.170382408;-0.165998782;-0.119143766
0.016211062;0.02253633;0.004500818;0.024664941;0.030155642;0.027180276;0.02167088;0.0384825;0.027332753;0.029006855;0.032944137
0.058961526;0.061234602;0.067204171;0.060214061;0.036827196;0.048005364;0.022761265;0.019402898;0.047776465;0.055126484;0.083457223
0.032343819;0.037461015;0.043538137;0.052644519;0.010473588;0.042309087;0.044801914;0.05296801;0.044378398;0.042717148;-0.002864333
-0.008041488;-0.02193627;-0.02496317;-0.018794015;0.022532672;-0.020152628;-0.010446622;-0.008542366;-0.016655039;-0.02530609;-0.017905901
0.02015997;0.003038581;0.000384199;0.011405355;-0.024900837;-0.003445252;-0.011238411;0.003355981;0.00715407;0.007099019;-0.005271044
0.07496987;0.080345545;0.068605672;0.083231236;0.082937853;0.073920422;0.077508291;0.079332141;0.08503684;0.080955417;0.081147649
-0.05482267;-0.058325876;-0.056041651;-0.057488171;-0.092028381;-0.058960102;-0.060189488;-0.025246648;-0.064715209;-0.066704671;-0.102444484
-0.021913131;-0.037681761;-0.048090438;-0.033905021;-0.06412319;-0.033358904;-0.038359788;-0.042523098;-0.031663665;-0.031044751;-0.056269686
-0.0913497;-0.109615789;-0.105405073;-0.117772901;-0.129420432;-0.105932567;-0.107851124;-0.134468131;-0.109091701;-0.112662232;-0.109792409
-0.060308765;-0.062297422;-0.060799438;-0.076696623;-0.015105215;-0.059517812;-0.052825387;-0.050591091;-0.060091909;-0.06330187;-0.013055809
-0.036830877;-0.058387395;-0.053066573;-0.034057433;-0.088585536;-0.059815325;-0.070058158;-0.06522743;-0.056249047;-0.048966087;-0.071985042
-0.164191936;-0.163776832;-0.150076472;-0.164466841;-0.219566603;-0.179928918;-0.184287001;-0.198821433;-0.187957067;-0.182452262;-0.170118815
0.068500111;0.088967414;0.068020205;0.072423972;0.076357697;0.090746683;0.097127024;0.072627175;0.090931945;0.093909631;0.110527173
0.093750091;0.078412977;0.07344421;0.081633863;0.104704097;0.090476191;0.09819411;0.035291944;0.092411784;0.083982698;0.127567557
-0.104392768;-0.110039094;-0.110445712;-0.100610478;-0.119848901;-0.1466637;-0.147720985;-0.075872053;-0.124060116;-0.111946704;-0.170959309
-0.036296318;-0.046768944;-0.03836603;-0.053712736;-0.009364027;-0.050619296;-0.049706831;0.00643763;-0.047134426;-0.038664181;-0.037365525
-0.063453112;-0.066708858;-0.066351676;-0.070914974;-0.074832611;-0.078518213;-0.069984415;-0.04965779;-0.076035301;-0.068704916;-0.050314898
0.004894213;0.011460981;0.010265214;0.014518036;-0.03746275;0.014456036;0.011845458;-0.001974334;0.009954305;0.017322404;-0.039021478
